City,MSE
"Chattahoochee Hills city, Georgia",1414559238.6666667
"Arabi town, Georgia",181979786.0
"Cordele city, Georgia",11469861.666666666
"Lake Park city, Georgia",218872392.33333334
"Lincolnton city, Georgia",178118650.0
"Walthourville city, Georgia",81684944.33333333
"Hahira city, Georgia",32413091.333333332
"Alston town, Georgia",67921603.33333333
"Hull city, Georgia",1399510464.6666667
"Woodbury city, Georgia",64610753.666666664
"Ailey city, Georgia",130465604.66666667
"Lexington city, Georgia",31542549.666666668
"Mountain City town, Georgia",127231974.66666667
"Sylvania city, Georgia",123451220.33333333
"Shannon CDP, Georgia",148361990.66666666
"Rentz city, Georgia",23558683.666666668
"Resaca town, Georgia",71129512.0
"Reynolds city, Georgia",400184930.6666667
"Lakeland city, Georgia",29687266.666666668
"Tunnel Hill city, Georgia",159250252.66666666
"Warrenton city, Georgia",51899044.0
"Homerville city, Georgia",18208451.333333332
"Buford city, Georgia",311192841.6666667
"Rest Haven town, Georgia",2637639686.0
"Ocilla city, Georgia",14261804.333333334
"Willacoochee city, Georgia",101396993.66666667
"Statham city, Georgia",533008786.0
"Hoboken city, Georgia",840675589.6666666
"Pembroke city, Georgia",4152909.6666666665
"Indian Springs CDP, Georgia",102425934.66666667
"Mount Zion city, Georgia",310003580.6666667
"Vernonburg town, Georgia",168641845091.66666
"Eastman city, Georgia",790237630.0
"Pavo city, Georgia",35208482.0
"Fort Oglethorpe city, Georgia",9159183.0
"Ringgold city, Georgia",123738793.66666667
"Kingsland city, Georgia",13297196.0
"Monticello city, Georgia",159630011.33333334
"Denton city, Georgia",237124544.66666666
"Shiloh city, Georgia",295362996.3333333
"Bowersville town, Georgia",27661421.666666668
"Conyers city, Georgia",59703900.666666664
"Lumpkin city, Georgia",50581488.666666664
"De Soto city, Georgia",241356065.0
"Leslie city, Georgia",26060683.333333332
"Portal town, Georgia",14051779.666666666
"Sandersville city, Georgia",2734518.0
"Braselton town, Georgia",175291025.66666666
"Bremen city, Georgia",129728172.66666667
"Metter city, Georgia",143766848.66666666
"Lilly city, Georgia",357051941.6666667
"Daisy city, Georgia",482206514.6666667
"East Ellijay city, Georgia",706293360.0
"Montgomery CDP, Georgia",2397168369.6666665
"Arlington city, Georgia",144215736.66666666
"Jefferson city, Georgia",32939608.0
"Ludowici city, Georgia",2092938834.0
"Fort Valley city, Georgia",6579459.0
"Cobbtown city, Georgia",126234027.0
"Sylvester city, Georgia",2989959.3333333335
"Midway city, Georgia",201996827.66666666
"Collins city, Georgia",348110901.3333333
"Baconton city, Georgia",188173075.0
"Dublin city, Georgia",53147546.666666664
"Colquitt city, Georgia",21402995.666666668
"Thomson city, Georgia",55772457.0
"Oglethorpe city, Georgia",36251890.666666664
"Rutledge city, Georgia",30947089.666666668
"Locust Grove city, Georgia",135096887.0
"McDonough city, Georgia",145734567.0
"Nicholson city, Georgia",60877333.666666664
"North High Shoals town, Georgia",57243008.666666664
"Zebulon city, Georgia",1377214025.6666667
"Tallulah Falls town, Georgia",523591948.6666667
"Clermont town, Georgia",316505311.3333333
"Richland city, Georgia",6894693.666666667
"Euharlee city, Georgia",182199562.0
"Aragon city, Georgia",44619843.666666664
"Georgetown CDP, Georgia",89664348.33333333
"Gordon city, Georgia",3228879.0
"Bonanza CDP, Georgia",451744401.6666667
"Waynesboro city, Georgia",142926206.33333334
"Doraville city, Georgia",532886712.0
"Pooler city, Georgia",33148290.666666668
"Skidaway Island CDP, Georgia",1065573900.6666666
"Sparks town, Georgia",15448931.0
"Rhine town, Georgia",92865661.66666667
"Bowman city, Georgia",31659523.333333332
"Grovetown city, Georgia",152190475.0
"Harlem city, Georgia",121726172.33333333
"Coolidge city, Georgia",568240614.0
"Leesburg city, Georgia",71366944.66666667
"East Dublin city, Georgia",64825396.333333336
"Pelham city, Georgia",111620437.66666667
"Culloden city, Georgia",805882126.0
"Forsyth city, Georgia",99386412.33333333
"Buckhead town, Georgia",131126732.0
"Stockbridge city, Georgia",434325495.0
"Flemington city, Georgia",56203554.666666664
"Fort Stewart CDP, Georgia",0.0
"Darien city, Georgia",49380080.0
"Sharon city, Georgia",122901186.0
"Covington city, Georgia",261622515.0
"Crawford city, Georgia",541611752.3333334
"Cairo city, Georgia",116453882.0
"Shady Dale town, Georgia",289644192.3333333
"Louisville city, Georgia",54183766.0
"Wrens city, Georgia",101930979.66666667
"Milner city, Georgia",19804302.0
"Smithville city, Georgia",197074808.0
"Dudley city, Georgia",79917498.0
"Montrose town, Georgia",866545519.3333334
"Dahlonega city, Georgia",2384025716.3333335
"Morven city, Georgia",1284242591.3333333
"Alma city, Georgia",31746725.666666668
"Enigma town, Georgia",61188193.0
"Ray City city, Georgia",23301571.0
"Richmond Hill city, Georgia",53845538.0
"Folkston city, Georgia",106903978.0
"Homeland city, Georgia",6723479.0
"Carrollton city, Georgia",317993322.0
"Isle of Hope CDP, Georgia",832488161.6666666
"Port Wentworth city, Georgia",177049028.66666666
"Du Pont town, Georgia",405670911.0
"Sharpsburg town, Georgia",3069330713.3333335
"Newnan city, Georgia",66911020.666666664
"Senoia city, Georgia",331754907.6666667
"LaGrange city, Georgia",28256000.666666668
"West Point city, Georgia",75607502.66666667
"Lincoln Park CDP, Georgia",1240768296.3333333
"Stillmore city, Georgia",131476960.66666667
"Summertown city, Georgia",103195164.66666667
"Toomsboro city, Georgia",70367992.66666667
"Nunez city, Georgia",143734743.33333334
"Odum city, Georgia",94950606.0
"Pendergrass town, Georgia",24143846.0
"Rebecca town, Georgia",117698609.66666667
"Walnut Grove city, Georgia",156895899.66666666
"Berlin city, Georgia",103836492.33333333
"Cohutta city, Georgia",133733976.0
"Lithia Springs CDP, Georgia",335337257.0
"Grantville city, Georgia",213671487.0
"Dawsonville city, Georgia",378751030.6666667
"Moody AFB CDP, Georgia",0.0
"Carlton city, Georgia",42587147.666666664
"Ila city, Georgia",59520483.666666664
"Mount Vernon city, Georgia",113926841.0
"Oxford city, Georgia",30950639.0
"Chickamauga city, Georgia",405233947.6666667
"Clayton city, Georgia",95364537.66666667
"Santa Claus city, Georgia",23216985.0
"Jesup city, Georgia",102475086.0
"Franklin city, Georgia",5356137147.0
"Stapleton city, Georgia",49562565.333333336
"East Point city, Georgia",128496734.0
"Sky Valley city, Georgia",438782598.0
"White Plains city, Georgia",452286777.0
"Summerville city, Georgia",51069103.333333336
"Graham city, Georgia",62056819.666666664
"Broxton city, Georgia",1350401966.3333333
"Newton city, Georgia",92024298.0
"East Newnan CDP, Georgia",33565854.0
"Byromville town, Georgia",14195944.0
"Vinings CDP, Georgia",417926532.6666667
"Social Circle city, Georgia",190094151.0
"Raoul CDP, Georgia",67189316.33333333
"Cedartown city, Georgia",28970893.666666668
"Camak town, Georgia",306040440.6666667
"St. Marys city, Georgia",27956351.333333332
"Between town, Georgia",279818717.3333333
"Bethlehem town, Georgia",88089023.0
"Rayle town, Georgia",1523579171.3333333
"Talbotton city, Georgia",547581719.0
"Woodland city, Georgia",33146791.333333332
"Tignall town, Georgia",70093955.66666667
"Poulan city, Georgia",68212991.0
"Hazlehurst city, Georgia",27405308.666666668
"Wadley city, Georgia",3128948.6666666665
"Wrightsville city, Georgia",97402323.33333333
"Montezuma city, Georgia",14968953.666666666
"Camilla city, Georgia",2107684.3333333335
"Pitts city, Georgia",195383792.66666666
"Attapulgus city, Georgia",101928345.66666667
"Blue Ridge city, Georgia",173439728.66666666
"McCaysville city, Georgia",45450944.666666664
"Ranger town, Georgia",791508727.0
"Mount Airy town, Georgia",77672916.66666667
"Americus city, Georgia",34610439.0
"Kingston city, Georgia",288788671.0
"Clarkesville city, Georgia",69277970.66666667
"Cornelia city, Georgia",141455422.33333334
"Dunwoody city, Georgia",105760246.0
"Dutch Island CDP, Georgia",514358543.0
"Henderson CDP, Georgia",1415764309.6666667
"Heron Bay CDP, Georgia",235591981.33333334
"Howard CDP, Georgia",0.0
"Knoxville CDP, Georgia",0.0
"Matthews CDP, Georgia",467258475.0
"Mendes CDP, Georgia",375719336.6666667
"Mineral Bluff CDP, Georgia",24066731103.0
"Norristown CDP, Georgia",2976813000.3333335
"Perkins CDP, Georgia",0.0
"Rockingham CDP, Georgia",14666560374.0
"Chattanooga Valley CDP, Georgia",67206892.66666667
"Washington city, Georgia",54141547.666666664
"Rome city, Georgia",10475656.666666666
"Gray city, Georgia",31631571.0
"Hinesville city, Georgia",2604102.3333333335
"Dasher town, Georgia",13670259.666666666
"Valdosta city, Georgia",21729967.0
"Comer city, Georgia",63002069.666666664
"Danielsville city, Georgia",177666793.66666666
"Martin town, Georgia",435882973.6666667
"Adrian city, Georgia",206436604.66666666
"Oak Park town, Georgia",723720655.3333334
"Fayetteville city, Georgia",83992005.66666667
"Peachtree City city, Georgia",73558627.0
"Gumlog CDP, Georgia",404507970.6666667
"Alamo town, Georgia",176271580.66666666
"Allenhurst city, Georgia",55838733.666666664
"Norwood city, Georgia",601100465.6666666
"Riddleville town, Georgia",1404121380.0
"Tennille city, Georgia",103265887.0
"Glenwood city, Georgia",187669337.66666666
"Berkeley Lake city, Georgia",261444520.66666666
"Grayson city, Georgia",136644827.0
"Lawrenceville city, Georgia",255662157.33333334
"Varnell city, Georgia",3361427.6666666665
"Milledgeville city, Georgia",19648287.0
"Carl town, Georgia",8411913518.666667
"Cochran city, Georgia",155433387.0
"Unionville CDP, Georgia",48734651.0
"Jeffersonville city, Georgia",33948378.0
"McIntyre town, Georgia",42103153.666666664
"Blairsville city, Georgia",214948872.33333334
"Salem CDP, Georgia",99330819.33333333
"Yatesville town, Georgia",37334801.666666664
"Waycross city, Georgia",14251602.666666666
"Dock Junction CDP, Georgia",149714988.33333334
"St. Simons CDP, Georgia",426286188.6666667
"Payne city, Georgia",958955656.0
"Morgan city, Georgia",101446716.66666667
"Redan CDP, Georgia",484230868.6666667
"Stone Mountain city, Georgia",102836547.33333333
"Mitchell town, Georgia",1625093211.3333333
"Alto town, Georgia",60337484.666666664
"Menlo city, Georgia",179389298.66666666
"Douglas city, Georgia",18976430.0
"Macon city, Georgia",19360000.0
"Riverside town, Georgia",767345401.0
"Royston city, Georgia",324478101.6666667
"Brunswick city, Georgia",16117486.0
"Woodville city, Georgia",89345991.33333333
"Baldwin city, Georgia",409244673.6666667
"Maysville town, Georgia",164452225.66666666
"Ellenton town, Georgia",143735835.0
"Hawkinsville city, Georgia",229877160.0
"Belvedere Park CDP, Georgia",119144263.33333333
"Holly Springs city, Georgia",96371680.33333333
"Druid Hills CDP, Georgia",370424652.6666667
"Guyton city, Georgia",177831487.0
"Bellville city, Georgia",977368435.6666666
"Satilla CDP, Georgia",1632512931.3333333
"Sautee Nacoochee CDP, Georgia",13690000.0
"Seville CDP, Georgia",28759110.0
"Statenville CDP, Georgia",408120804.0
"Talahi Island CDP, Georgia",408227987.6666667
"Tate City CDP, Georgia",0.0
"The Rock CDP, Georgia",304437672.0
"Yonah CDP, Georgia",216474984.66666666
"Jenkinsburg city, Georgia",361479072.6666667
"Cave Spring city, Georgia",151695972.66666666
"Woolsey town, Georgia",234696023.0
"Carnesville city, Georgia",136445352.66666666
"Franklin Springs city, Georgia",222345150.33333334
"Commerce city, Georgia",60225192.666666664
"Lone Oak town, Georgia",365310049.6666667
"Arnoldsville city, Georgia",846063844.6666666
"Molena city, Georgia",25127852.333333332
"Newington town, Georgia",79699076.33333333
"Centralhatchee town, Georgia",171538053.66666666
"Millen city, Georgia",179945327.0
"Avera city, Georgia",36294578.0
"Lindale CDP, Georgia",24019734.666666668
"Cumming city, Georgia",466052462.6666667
"Arcade city, Georgia",987082039.3333334
"Talmo town, Georgia",230006482.66666666
"Warm Springs city, Georgia",384888774.0
"Higgston town, Georgia",730271130.0
"Uvalda city, Georgia",38704928.333333336
"Eton city, Georgia",4876452.333333333
"Bishop town, Georgia",2985146507.3333335
"Perry city, Georgia",140773836.66666666
"Warner Robins city, Georgia",4537798.0
"Dallas city, Georgia",130722761.0
"Hilltop CDP, Georgia",129394814.0
"Maxeys town, Georgia",172949979.0
"Dillard city, Georgia",882108107.0
"Hiram city, Georgia",86173265.66666667
"Rocky Ford town, Georgia",18427505.666666668
"Forest Park city, Georgia",98461218.0
"Morrow city, Georgia",98658326.0
