Geographic ID for geographic unit,"# Renter-occupied housing units, 2019","% Gross rent $1,000 or more, 2019","% Gross rent $2,000 or more, 2019","% Gross rent $3,000 or more, 2019"
31305,696,17.8,0.0,0.0
30726,0,,,
31307,49,81.6,0.0,0.0
30728,2389,10.4,0.1,0.1
30730,116,2.0,0.0,0.0
31308,601,39.9,0.0,0.0
30731,231,29.3,0.0,0.0
31309,81,0.0,0.0,0.0
30733,220,29.2,0.0,0.0
30734,342,35.6,0.0,0.0
30735,469,28.3,0.0,0.0
30736,2979,23.0,0.0,0.0
30738,210,59.1,0.0,0.0
30739,584,41.8,0.0,0.0
30740,523,18.0,0.0,0.0
30741,3986,23.0,0.0,0.0
30742,1431,19.1,0.0,0.0
30746,154,11.0,0.0,0.0
30747,1803,4.3,0.8,0.0
30750,228,30.1,1.6,0.0
30751,0,,,
30752,1191,7.2,0.0,0.0
30753,806,7.7,0.0,0.0
30755,954,16.2,0.0,0.0
30756,45,0.0,0.0,0.0
30757,259,40.8,0.0,0.0
30802,257,14.1,0.0,0.0
30803,61,0.0,0.0,0.0
30805,186,10.0,0.0,0.0
30294,3420,71.5,1.2,0.0
30295,415,13.6,0.0,0.0
30296,3287,75.0,0.8,0.0
39866,33,0.0,0.0,0.0
30297,5846,31.8,0.5,0.5
39867,29,0.0,0.0,0.0
30303,953,53.1,3.3,2.2
30305,5655,74.4,17.1,3.0
30306,4638,73.9,15.8,3.2
39870,304,3.9,0.0,0.0
30530,570,21.5,0.0,0.0
30307,3704,67.1,12.6,2.3
39877,37,13.3,0.0,0.0
30531,983,10.7,0.0,0.0
30308,8248,69.2,13.9,0.8
39885,8,50.0,0.0,0.0
30533,3010,38.6,1.1,0.0
30309,8404,74.2,20.3,3.6
30002,1205,24.6,2.2,0.0
39886,227,0.0,0.0,0.0
30534,1998,35.4,1.1,0.0
30310,6756,43.0,0.4,0.2
30004,4981,89.5,8.8,1.8
30535,714,9.6,2.2,0.0
30311,8926,24.7,1.1,0.0
30005,4381,89.8,15.0,2.5
30536,829,23.2,0.0,0.0
30312,8121,61.8,8.5,0.2
30008,5220,52.4,1.8,0.0
39897,281,8.0,0.0,0.0
30537,100,2.2,0.0,0.0
30313,1407,54.6,4.3,0.0
30009,2621,80.8,24.1,9.0
30538,250,1.6,0.0,0.0
30314,5278,37.1,0.1,0.0
30011,1020,56.5,11.3,0.0
30540,2131,26.7,2.8,0.2
30315,8271,32.4,1.2,0.0
30012,4479,40.4,3.3,0.0
30541,95,50.0,0.0,0.0
30316,4966,64.9,6.6,0.2
30013,3549,63.5,5.0,0.0
30542,2523,65.4,4.7,0.5
30317,1808,53.1,4.4,0.3
30014,5335,31.6,0.5,0.3
30543,165,74.3,0.0,0.0
30318,14244,59.8,6.0,0.8
30016,5556,69.2,0.7,0.0
30545,114,15.7,0.0,0.0
30319,9066,82.4,17.5,5.3
30017,778,98.5,8.8,0.0
30546,640,24.0,0.6,0.6
30019,2223,83.5,16.3,0.0
30547,245,19.4,0.0,0.0
30021,5435,43.0,0.7,0.0
30548,670,50.4,4.8,0.0
30022,6669,90.8,12.1,4.0
30549,2002,36.0,2.6,1.2
30024,3641,87.0,28.1,3.3
30552,159,70.5,0.0,0.0
30025,673,46.3,1.3,0.0
30553,1073,4.8,0.5,0.0
30028,1139,61.9,14.5,2.2
30554,627,30.8,2.2,0.0
30030,4676,49.8,13.3,5.3
30555,238,4.5,1.7,0.0
30032,9253,44.9,1.0,0.0
30557,384,16.9,0.0,0.0
30033,5023,71.8,6.4,1.2
30558,508,12.0,0.0,0.0
30034,6479,51.6,0.0,0.0
30559,354,56.4,0.0,0.0
30035,4326,57.3,0.7,0.0
30560,264,72.9,10.6,0.0
30562,146,0.0,0.0,0.0
30563,257,12.6,0.0,0.0
30564,343,19.7,0.0,0.0
30565,343,25.7,0.0,0.0
30566,895,51.6,0.0,0.0
30567,225,61.3,0.0,0.0
30568,91,0.0,0.0,0.0
30571,278,66.0,0.0,0.0
30572,82,21.2,0.0,0.0
31903,4639,11.8,0.4,0.0
30040,4418,64.1,13.0,0.8
31904,6621,35.9,2.9,0.4
31906,4842,18.1,0.4,0.0
31907,9126,38.3,1.4,0.4
30052,4488,71.2,8.8,0.0
30054,871,53.4,18.2,5.0
30055,171,36.3,0.0,0.0
30056,114,17.6,0.0,0.0
31404,6685,47.1,1.4,0.2
30058,9232,70.2,0.3,0.0
30060,8067,51.4,1.5,0.9
30062,5120,78.8,14.7,0.5
30064,3181,59.8,8.1,4.8
31405,6551,60.4,4.7,1.9
30066,4445,78.5,10.0,0.6
30067,12183,78.5,1.5,0.1
30068,1799,62.1,22.8,8.6
30070,125,20.0,0.0,0.0
31314,0,,,
31406,5664,53.8,5.2,2.4
30071,3814,71.1,3.2,0.0
30072,125,53.6,0.0,0.0
31315,2563,88.3,1.0,0.0
30075,3416,74.6,20.7,5.1
30076,6453,86.3,6.9,2.6
30078,2547,79.2,3.9,0.0
31316,1036,44.1,0.0,0.0
30079,1005,49.2,2.2,0.0
31318,11,0.0,0.0,0.0
31407,1929,93.0,2.2,0.0
30080,13591,75.2,5.5,0.9
31320,849,56.9,0.0,0.0
30082,4340,83.8,7.2,0.2
31408,1961,35.7,0.0,0.0
30083,10644,53.5,0.3,0.0
31409,43,30.2,0.0,0.0
30084,4799,69.4,2.7,0.9
31321,733,20.7,0.0,0.0
30087,2849,75.0,9.4,5.7
30088,4935,65.1,1.0,0.0
31410,2527,82.4,6.6,0.0
30092,7821,78.6,3.0,0.4
31322,4154,85.3,3.0,0.0
31808,140,74.6,11.5,0.0
31810,27,0.0,0.0,0.0
31811,270,61.4,0.0,0.0
31812,40,0.0,0.0,0.0
31814,34,0.0,0.0,0.0
31815,200,2.1,0.0,0.0
31816,769,12.2,0.0,0.0
31051,13,0.0,0.0,0.0
31052,381,8.1,0.0,0.0
31054,143,4.8,0.0,0.0
31055,872,8.6,2.1,0.0
31057,280,9.3,0.0,0.0
31058,127,0.0,0.0,0.0
31060,147,20.9,0.0,0.0
31061,6693,17.4,0.7,0.0
31062,0,,,
31063,724,4.9,0.0,0.0
31064,939,31.7,0.0,0.0
31065,48,0.0,0.0,0.0
31066,95,0.0,0.0,0.0
31067,7,0.0,0.0,0.0
31068,572,2.0,0.0,0.0
31069,2610,26.9,0.0,0.0
31070,93,1.4,0.0,0.0
31071,95,9.1,0.0,0.0
31072,84,0.0,0.0,0.0
31075,224,18.3,0.0,0.0
31076,315,26.7,0.0,0.0
30228,3498,65.4,3.7,0.0
31077,140,1.3,0.0,0.0
30230,1239,33.4,0.0,0.0
31078,333,6.2,0.0,0.0
30233,2239,21.1,0.4,0.0
31079,200,11.0,0.0,0.0
30448,5,0.0,0.0,0.0
30234,233,53.7,0.0,0.0
31081,0,,,
30449,22,0.0,0.0,0.0
30236,7738,44.9,1.4,0.4
31082,1338,4.5,0.0,0.0
30450,211,17.1,0.0,0.0
31083,35,0.0,0.0,0.0
30451,3,100.0,0.0,0.0
30452,111,15.5,0.0,0.0
30453,1055,6.7,0.0,0.0
30454,11,0.0,0.0,0.0
30455,44,19.2,0.0,0.0
30456,184,0.0,0.0,0.0
30457,757,1.2,0.0,0.0
30458,9385,27.3,1.4,0.3
30460,0,,,
30461,1858,24.7,1.9,0.0
30464,16,43.8,0.0,0.0
30467,1193,8.1,0.0,0.0
30470,42,0.0,0.0,0.0
30471,503,2.2,0.0,0.0
30473,193,29.1,0.0,0.0
30474,2600,15.3,0.2,0.0
30475,0,,,
30573,9,0.0,0.0,0.0
30477,390,8.4,0.0,0.0
30575,112,25.9,0.0,0.0
30501,5885,29.8,1.5,0.0
30576,107,18.3,9.8,6.1
30504,3858,47.8,0.5,0.0
30577,2475,16.2,0.0,0.0
30506,3106,47.5,13.3,7.7
30581,9,0.0,0.0,0.0
30507,2207,36.6,6.2,5.9
30582,425,3.1,2.4,0.0
30510,505,11.0,0.0,0.0
30601,6303,31.8,3.5,0.0
30511,286,20.2,0.0,0.0
30602,0,,,
30512,2107,31.1,1.6,0.0
30605,11301,28.0,1.0,0.2
30513,1262,21.4,1.3,0.0
30606,10070,37.0,2.3,0.2
30516,230,8.7,0.0,0.0
30607,1378,22.9,0.0,0.0
30517,596,60.9,11.9,1.1
30609,0,,,
30619,100,25.0,0.0,0.0
30620,672,78.5,0.0,0.0
30621,186,23.7,0.9,0.0
30622,1485,58.9,15.9,2.0
30623,11,0.0,0.0,0.0
30624,280,6.2,3.3,0.0
31312,933,51.3,0.0,0.0
30625,200,15.4,11.7,0.0
30627,197,0.0,0.0,0.0
30628,297,20.5,0.0,0.0
30629,528,17.9,0.0,0.0
31313,8573,52.2,1.0,0.0
30630,326,1.5,0.0,0.0
30631,185,11.6,1.9,1.9
30633,730,11.3,0.9,0.0
30634,105,10.2,0.0,0.0
30635,1721,11.5,0.0,0.0
30807,6,100.0,0.0,0.0
30641,72,54.4,0.0,0.0
30808,328,6.4,0.0,0.0
30642,1252,29.6,4.8,0.0
30809,2270,59.6,23.3,7.6
30643,1585,19.5,1.9,0.0
30810,225,0.9,0.0,0.0
30646,1009,18.5,0.0,0.0
30812,0,,,
30648,228,2.2,0.0,0.0
30813,3517,72.9,4.1,0.0
30650,1206,34.5,0.0,0.0
30814,591,25.7,3.1,0.0
30655,3636,42.2,1.6,0.3
30815,4288,50.3,1.0,0.0
30656,1188,50.9,0.0,0.0
30816,218,0.0,0.0,0.0
30660,115,27.3,0.0,0.0
30817,908,7.8,0.3,0.0
30662,1239,8.6,0.0,0.0
30818,93,0.0,0.0,0.0
30820,89,0.0,0.0,0.0
30821,52,11.9,0.0,0.0
30822,71,0.0,0.0,0.0
30823,108,15.8,2.6,0.0
30824,2801,13.7,0.0,0.0
30828,657,11.8,0.0,0.0
30830,1520,7.8,0.0,0.0
30833,679,2.2,0.0,0.0
30901,4356,17.4,0.0,0.0
30903,0,,,
30904,5557,25.9,0.7,0.4
30905,932,94.8,0.0,0.0
30906,8686,33.6,0.0,0.0
30907,4960,55.6,1.1,0.4
30909,8142,29.8,0.2,0.0
30912,0,,,
31001,276,0.0,0.0,0.0
30038,7313,71.1,0.8,0.0
30039,3354,91.1,2.9,0.0
31323,88,7.4,0.0,0.0
31324,2852,72.6,21.1,3.1
31326,2408,59.3,0.0,0.0
31909,7754,57.5,3.7,0.0
39813,324,0.0,0.0,0.0
30322,0,,,
30324,9121,86.7,9.6,1.2
30326,2796,88.7,28.4,4.1
30327,2165,65.2,32.1,9.5
30328,7185,84.2,13.0,0.8
30329,8649,84.8,8.0,1.5
30331,12329,49.3,0.6,0.0
30332,0,,,
30334,0,,,
30336,122,83.6,20.5,0.0
30337,3813,32.5,1.4,0.0
30338,5184,96.6,6.9,0.8
30339,8645,90.1,6.3,1.1
30340,5246,59.5,1.3,0.0
30341,6864,81.7,3.9,0.0
30342,6461,83.0,9.1,3.2
30344,7949,55.0,0.2,0.2
30345,5252,83.3,5.7,0.2
30346,2941,98.9,6.3,0.0
30349,12792,46.2,1.5,0.2
30350,10888,81.6,3.0,1.7
30354,4317,45.1,0.4,0.4
30360,2213,73.9,5.7,0.0
30224,3396,40.4,0.0,0.0
30363,1347,80.8,31.0,7.2
30401,2167,4.6,0.0,0.0
30410,222,3.7,0.0,0.0
30093,12920,71.2,0.7,0.0
30094,2484,76.8,0.5,0.0
30096,15112,88.3,2.1,0.1
30097,4690,91.7,14.1,2.2
30101,4435,77.9,6.5,0.2
30102,3965,59.6,2.2,0.0
30103,1657,30.0,1.6,0.0
30104,531,21.5,0.0,0.0
30105,136,27.0,0.0,0.0
30106,3646,66.0,2.8,2.0
31525,4692,50.0,0.4,0.0
30107,534,64.0,1.0,0.0
31527,150,90.7,0.0,0.0
30108,904,5.5,0.0,0.0
31532,40,0.0,0.0,0.0
30110,1613,10.5,0.0,0.0
31533,3008,4.2,0.6,0.6
30113,504,21.4,0.0,0.0
31535,1085,11.5,0.0,0.0
30114,6620,57.5,5.5,0.2
31537,944,1.2,0.0,0.0
30115,2095,80.2,9.3,0.0
31539,1824,4.3,0.0,0.0
30116,2022,26.8,0.0,0.0
31542,117,19.2,0.0,0.0
30117,6628,23.7,1.1,0.0
31543,406,4.6,0.0,0.0
30118,0,,,
31544,54,58.8,0.0,0.0
30120,5243,40.4,0.4,0.0
31545,2467,11.6,0.0,0.0
30121,3779,46.9,0.0,0.0
31546,867,3.2,2.4,0.0
30122,5030,70.3,1.0,0.0
31547,67,100.0,0.0,0.0
30124,374,12.6,0.0,0.0
31548,3043,37.9,2.1,0.0
30125,3327,6.9,0.5,0.5
31549,196,3.5,0.0,0.0
30126,4400,62.6,11.6,0.3
31550,48,0.0,0.0,0.0
31411,371,41.6,33.4,13.2
30127,4179,77.2,9.5,2.1
31551,93,0.0,0.0,0.0
31415,2591,23.4,0.0,0.0
30132,3972,54.9,1.1,0.3
31552,25,0.0,0.0,0.0
31419,10342,62.1,1.0,0.1
30134,5592,49.4,0.9,0.0
31553,429,4.2,0.0,0.0
30135,5385,64.5,7.0,0.0
31554,486,0.0,0.0,0.0
30137,222,20.2,0.0,0.0
31555,150,6.8,0.0,0.0
30139,449,16.1,1.5,1.5
31556,9,0.0,0.0,0.0
30141,2362,72.7,0.9,0.0
31557,343,6.4,0.0,0.0
30143,2090,32.7,1.1,0.0
31558,3546,52.7,5.5,0.5
30144,9043,81.8,4.4,0.1
31501,3056,13.5,0.0,0.0
30145,389,41.7,0.0,0.0
30147,587,17.6,0.0,0.0
30148,18,0.0,0.0,0.0
30149,59,54.1,0.0,0.0
31503,2160,8.4,0.2,0.2
31084,0,,,
31085,76,0.0,0.0,0.0
31087,836,4.3,0.0,0.0
31088,7922,45.0,2.9,0.0
31002,294,0.0,0.0,0.0
31003,0,,,
31089,757,9.9,0.0,0.0
31005,1483,60.6,1.2,1.2
31090,108,1.3,0.0,0.0
31006,677,1.9,0.0,0.0
31007,82,0.0,0.0,0.0
31008,1819,42.2,2.5,0.0
31091,412,0.0,0.0,0.0
31009,106,8.7,0.0,0.0
31092,925,1.9,0.0,0.0
31093,5628,25.7,2.4,0.0
31094,89,0.0,0.0,0.0
31096,835,6.4,1.6,0.0
31097,75,8.8,0.0,0.0
31098,995,71.3,2.4,0.5
30238,5085,60.5,0.0,0.0
30240,4105,21.2,1.6,0.9
30241,4616,36.1,1.7,0.0
30248,1941,72.6,1.3,0.0
31201,2676,18.0,0.0,0.0
30250,0,,,
30251,316,8.3,0.0,0.0
30252,2355,88.4,8.0,2.8
30253,7838,68.1,3.5,0.2
30256,177,24.3,0.0,0.0
31204,6134,23.2,0.1,0.0
30257,420,34.7,0.0,0.0
30258,177,40.0,0.0,0.0
31206,5423,16.4,0.0,0.0
30259,197,61.5,0.0,0.0
30260,4214,52.3,0.7,0.7
30263,8347,49.7,0.9,0.0
30265,3241,80.3,9.3,1.2
30268,1276,51.1,2.0,0.0
30269,3432,78.3,17.4,4.3
30273,1499,77.7,0.0,0.0
30274,7574,44.3,0.2,0.0
30275,0,,,
30276,689,63.9,2.1,0.0
30277,922,70.3,13.3,0.0
30281,9953,72.2,2.0,0.1
30284,12,41.7,0.0,0.0
30285,55,0.0,0.0,0.0
30286,3024,10.6,0.0,0.0
30288,1028,26.5,5.3,5.3
30289,9,0.0,0.0,0.0
30290,401,31.5,22.6,0.0
30291,5259,40.0,0.2,0.2
30292,223,18.6,0.0,0.0
30293,278,17.3,0.0,0.0
30664,0,,,
30665,11,0.0,0.0,0.0
30666,744,49.7,2.4,0.0
30667,73,24.4,0.0,0.0
30668,145,3.5,0.0,0.0
30669,433,10.7,1.3,1.3
30673,1003,14.0,0.0,0.0
30677,1108,38.5,0.0,0.0
30678,81,15.8,0.0,0.0
30680,4235,47.7,1.4,0.0
30683,761,24.9,1.0,1.0
30701,5793,9.6,0.0,0.0
30705,3790,13.9,0.0,0.0
30707,1515,30.3,0.0,0.0
30708,33,,,
30710,448,25.2,1.6,0.0
30711,248,5.0,0.0,0.0
30720,4203,12.2,1.5,0.0
30721,6963,11.0,0.3,0.0
30725,284,16.9,5.6,0.0
31560,252,0.9,0.0,0.0
31561,0,,,
31562,109,10.2,0.0,0.0
31563,97,0.0,0.0,0.0
31565,136,0.0,0.0,0.0
30518,4159,63.9,7.8,2.3
31566,147,8.2,0.0,0.0
30519,3618,88.1,19.5,0.0
31567,161,5.0,0.0,0.0
30520,511,0.4,0.0,0.0
31568,49,0.0,0.0,0.0
30521,510,6.9,0.0,0.0
31569,402,21.5,0.0,0.0
30522,28,0.0,0.0,0.0
31601,6448,12.4,0.1,0.0
30523,921,16.7,0.0,0.0
31602,7771,26.0,0.2,0.1
30525,1074,6.8,0.0,0.0
31605,3072,50.7,1.8,0.0
30527,352,62.8,0.0,0.0
39815,226,4.0,0.0,0.0
31606,288,23.1,11.2,0.0
30528,2443,20.4,0.8,0.0
31620,1335,20.5,0.0,0.0
30529,1648,22.7,0.0,0.0
39817,1779,7.0,0.0,0.0
31622,224,0.0,0.0,0.0
31510,912,7.4,0.0,0.0
31623,5,0.0,0.0,0.0
31512,196,0.0,0.0,0.0
39819,1891,13.8,0.0,0.0
31624,64,26.2,0.0,0.0
31513,1412,3.9,0.0,0.0
31625,159,0.0,0.0,0.0
31516,1152,13.1,0.0,0.0
31626,419,19.4,0.0,0.0
31518,81,0.0,0.0,0.0
39823,1096,14.8,0.0,0.0
31627,40,0.0,0.0,0.0
31519,412,1.0,0.0,0.0
39824,69,0.0,0.0,0.0
31629,70,64.0,14.0,0.0
31520,5145,16.5,1.7,0.0
39825,183,0.0,0.0,0.0
31630,37,0.0,0.0,0.0
31522,1871,66.8,22.6,2.7
