OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2019","# Renter-occupied housing units, 2019 (MOE)","# Gross rent less than $500, 2019","# Gross rent less than $500, 2019 (MOE)","% Gross rent less than $500, 2019","% Gross rent less than $500, 2019 (MOE)","# Gross rent $500 to $999, 2019","# Gross rent $500 to $999, 2019 (MOE)","% Gross rent $500 to $999, 2019","% Gross rent $500 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 to $2,499, 2019","# Gross rent $2,000 to $2,499, 2019 (MOE)","% Gross rent $2,000 to $2,499, 2019","% Gross rent $2,000 to $2,499, 2019 (MOE)","# Gross rent $2,500 to $2,999, 2019","# Gross rent $2,500 to $2,999, 2019 (MOE)","% Gross rent $2,500 to $2,999, 2019","% Gross rent $2,500 to $2,999, 2019 (MOE)","# Gross rent $3,000 or more, 2019","# Gross rent $3,000 or more, 2019 (MOE)","% Gross rent $3,000 or more, 2019","% Gross rent $3,000 or more, 2019 (MOE)","# Gross rent less than $200, 2019","# Gross rent less than $200, 2019 (MOE)","% Gross rent less than $200, 2019","% Gross rent less than $200, 2019 (MOE)","# Gross rent $200 to $499, 2019","# Gross rent $200 to $499, 2019 (MOE)","% Gross rent $200 to $499, 2019","% Gross rent $200 to $499, 2019 (MOE)","# Gross rent $500 to $749, 2019","# Gross rent $500 to $749, 2019 (MOE)","% Gross rent $500 to $749, 2019","% Gross rent $500 to $749, 2019 (MOE)","# Gross rent $750 to $999, 2019","# Gross rent $750 to $999, 2019 (MOE)","% Gross rent $750 to $999, 2019","% Gross rent $750 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 or more, 2019","# Gross rent $2,000 or more, 2019 (MOE)","% Gross rent $2,000 or more, 2019","% Gross rent $2,000 or more, 2019 (MOE)","# Gross rent less than $750, 2019","# Gross rent less than $750, 2019 (MOE)","% Gross rent less than $750, 2019","% Gross rent less than $750, 2019 (MOE)","# Gross rent $1,000 or more, 2019","# Gross rent $1,000 or more, 2019 (MOE)","% Gross rent $1,000 or more, 2019","% Gross rent $1,000 or more, 2019 (MOE)",Shape__Area,Shape__Length
11,Northwest Georgia,No,30177,3255,ZCTA,ZCTA5 30177,80,48,18,42,25.4,57.5,53,50,74.6,51.7,0,18,0,25.9,0,13,0,18.3,0,13,0,18.3,0,13,0,18.3,0,18,0,25.9,0,23,0,31.7,18,36,25.4,47.9,20,30,28.2,38.2,33,40,46.5,47.6,0,18,0,25.9,0,13,0,18.3,0,26,0,36.6,38,52,53.5,64.7,0,26,0,36.6,141178356.658936,84704.6036016126
12,Southern Georgia,No,31643,3763,ZCTA,ZCTA5 31643,1025,188,180,104,21.1,11.2,583,153,68.4,8.3,89,67,10.4,7.5,0,19,0,2.2,0,19,0,2.2,0,19,0,2.2,0,27,0,3.2,13,35,1.5,4.1,167,98,19.6,10.5,309,115,36.3,10.6,274,100,32.2,9.1,89,67,10.4,7.5,0,19,0,2.2,0,38,0,4.5,489,155,57.4,12.4,89,72,10.4,8.1,7379525377.75879,696094.937346411
13,Northwest Georgia,Partial,30178,3256,ZCTA,ZCTA5 30178,184,100,0,39,0,31.2,111,70,88.8,22,14,25,11.2,18.7,0,13,0,10.4,0,13,0,10.4,0,13,0,10.4,0,18,0,14.7,0,23,0,18,0,32,0,25.5,72,59,57.6,33.9,39,36,31.2,22.9,14,25,11.2,18.7,0,13,0,10.4,0,26,0,20.8,72,71,57.6,46.1,14,31,11.2,23.8,1508308122.73096,303583.334106487
14,Southern Georgia,No,31645,3764,ZCTA,ZCTA5 31645,792,165,133,93,18.8,12.6,444,143,62.7,15.7,93,55,13.1,7.3,38,44,5.4,6.1,0,19,0,2.7,0,19,0,2.7,0,27,0,3.8,3,28,0.4,3.9,130,89,18.4,12,274,111,38.7,13.5,170,91,24,11.9,93,55,13.1,7.3,38,44,5.4,6.1,0,38,0,5.4,407,144,57.5,16.7,131,73,18.5,9.6,1416729559.23926,259759.727530731
15,NW / TR,Partial,30179,3257,ZCTA,ZCTA5 30179,1144,360,118,149,10.7,13,700,339,63.3,22.9,248,146,22.4,11,39,65,3.5,5.8,0,21,0,1.9,0,21,0,1.9,0,30,0,2.7,82,130,7.4,11.6,36,72,3.3,6.5,137,115,12.4,9.6,563,319,51,23.8,248,146,22.4,11,39,65,3.5,5.8,0,42,0,3.8,255,188,23.1,15.3,287,161,26,11.9,2108374795.40967,398278.61489883
16,Southern Georgia,No,31647,3765,ZCTA,ZCTA5 31647,525,126,65,58,13.9,12,372,95,79.3,4.8,18,17,3.8,3.4,0,13,0,2.8,14,17,3,3.5,0,13,0,2.8,0,18,0,3.9,0,23,0,4.8,65,54,13.9,11,108,48,23,8.5,264,82,56.3,10.5,18,17,3.8,3.4,0,13,0,2.8,14,28,3,6,173,76,36.9,13.3,32,27,6.8,5.5,1282025389.05908,290946.875174122
17,ARC / NW / TR,Yes,30180,3258,ZCTA,ZCTA5 30180,3793,457,191,119,5.4,3.3,1144,279,32.3,6.7,1757,349,49.6,7.6,436,209,12.3,5.7,12,17,0.3,0.5,0,28,0,0.8,0,40,0,1.1,0,48,0,1.4,191,109,5.4,3,274,137,7.7,3.7,870,244,24.6,6.1,1757,349,49.6,7.6,436,209,12.3,5.7,12,51,0.3,1.5,465,181,13.1,4.8,2205,407,62.3,8.4,2112385655.44385,340960.6249571
18,Southern Georgia,No,31648,3766,ZCTA,ZCTA5 31648,140,59,0,39,0,39,100,58,100,32.8,0,18,0,18.4,0,13,0,13,0,13,0,13,0,13,0,13,0,18,0,18.4,0,23,0,22.5,0,32,0,31.8,56,42,56,32.4,44,40,44,34.1,0,18,0,18.4,0,13,0,13,0,26,0,26,56,57,56,50.7,0,26,0,26,128561812.410339,55257.7362587619
19,NW / TR,Partial,30182,3259,ZCTA,ZCTA5 30182,279,114,111,114,46.3,41.4,122,100,50.8,32.9,7,16,2.9,6.4,0,13,0,5.4,0,13,0,5.4,0,13,0,5.4,0,18,0,7.7,0,23,0,9.4,111,112,46.3,40.3,97,98,40.4,35.1,25,23,10.4,8,7,16,2.9,6.4,0,13,0,5.4,0,26,0,10.8,208,150,86.7,44.7,7,24,2.9,10,995324045.653564,261894.85100495
20,Southern Georgia,No,31649,3767,ZCTA,ZCTA5 31649,67,51,15,39,35.7,87.5,27,45,64.3,93.6,0,18,0,43.8,0,13,0,31,0,13,0,31,0,13,0,31,0,18,0,43.8,0,23,0,53.6,15,32,35.7,69.2,9,30,21.4,68,18,34,42.9,73.5,0,18,0,43.8,0,13,0,31,0,26,0,61.9,24,49,57.1,105.9,0,26,0,61.9,1389583012.87463,298412.43578556
