OBJECTID,Planning Region,ARC Modeling Area,Geographic ID for geographic unit,Logical record number,Summary level of geographic unit,Name of geographic unit,"# Renter-occupied housing units, 2019","# Renter-occupied housing units, 2019 (MOE)","# Gross rent less than $500, 2019","# Gross rent less than $500, 2019 (MOE)","% Gross rent less than $500, 2019","% Gross rent less than $500, 2019 (MOE)","# Gross rent $500 to $999, 2019","# Gross rent $500 to $999, 2019 (MOE)","% Gross rent $500 to $999, 2019","% Gross rent $500 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 to $2,499, 2019","# Gross rent $2,000 to $2,499, 2019 (MOE)","% Gross rent $2,000 to $2,499, 2019","% Gross rent $2,000 to $2,499, 2019 (MOE)","# Gross rent $2,500 to $2,999, 2019","# Gross rent $2,500 to $2,999, 2019 (MOE)","% Gross rent $2,500 to $2,999, 2019","% Gross rent $2,500 to $2,999, 2019 (MOE)","# Gross rent $3,000 or more, 2019","# Gross rent $3,000 or more, 2019 (MOE)","% Gross rent $3,000 or more, 2019","% Gross rent $3,000 or more, 2019 (MOE)","# Gross rent less than $200, 2019","# Gross rent less than $200, 2019 (MOE)","% Gross rent less than $200, 2019","% Gross rent less than $200, 2019 (MOE)","# Gross rent $200 to $499, 2019","# Gross rent $200 to $499, 2019 (MOE)","% Gross rent $200 to $499, 2019","% Gross rent $200 to $499, 2019 (MOE)","# Gross rent $500 to $749, 2019","# Gross rent $500 to $749, 2019 (MOE)","% Gross rent $500 to $749, 2019","% Gross rent $500 to $749, 2019 (MOE)","# Gross rent $750 to $999, 2019","# Gross rent $750 to $999, 2019 (MOE)","% Gross rent $750 to $999, 2019","% Gross rent $750 to $999, 2019 (MOE)","# Gross rent $1,000 to $1,499, 2019","# Gross rent $1,000 to $1,499, 2019 (MOE)","% Gross rent $1,000 to $1,499, 2019","% Gross rent $1,000 to $1,499, 2019 (MOE)","# Gross rent $1,500 to $1,999, 2019","# Gross rent $1,500 to $1,999, 2019 (MOE)","% Gross rent $1,500 to $1,999, 2019","% Gross rent $1,500 to $1,999, 2019 (MOE)","# Gross rent $2,000 or more, 2019","# Gross rent $2,000 or more, 2019 (MOE)","% Gross rent $2,000 or more, 2019","% Gross rent $2,000 or more, 2019 (MOE)","# Gross rent less than $750, 2019","# Gross rent less than $750, 2019 (MOE)","% Gross rent less than $750, 2019","% Gross rent less than $750, 2019 (MOE)","# Gross rent $1,000 or more, 2019","# Gross rent $1,000 or more, 2019 (MOE)","% Gross rent $1,000 or more, 2019","% Gross rent $1,000 or more, 2019 (MOE)",Shape__Area,Shape__Length
185,Coastal Regional Commission,No,31304,3663,ZCTA,ZCTA5 31304,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,74098048.2518311,52129.7768669768
186,Northeast Georgia,No,30663,3495,ZCTA,ZCTA5 30663,403,90,127,67,41.5,18.6,123,55,40.2,14.2,39,28,12.7,8.5,10,13,3.3,4.2,7,11,2.3,3.5,0,13,0,4.2,0,18,0,6,21,29,6.9,9.3,106,60,34.6,17.2,57,43,18.6,13,66,35,21.6,9.7,39,28,12.7,8.5,10,13,3.3,4.2,7,25,2.3,8.2,184,79,60.1,20,56,33,18.3,9.5,1565594030.78296,325120.35297976
187,Coastal Regional Commission,No,31305,3664,ZCTA,ZCTA5 31305,696,205,66,83,9.9,12,483,174,72.3,13.9,99,86,14.8,12,20,24,3,3.5,0,19,0,2.8,0,19,0,2.8,0,27,0,4,0,33,0,4.9,66,76,9.9,11,258,128,38.6,15,225,119,33.7,14.5,99,86,14.8,12,20,24,3,3.5,0,38,0,5.7,324,152,48.5,17.3,119,91,17.8,12.5,1289680007.40784,370612.031697055
188,Northwest Georgia,No,30726,3516,ZCTA,ZCTA5 30726,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,3670308.4206543,14489.1355734922
189,Coastal Regional Commission,No,31307,3665,ZCTA,ZCTA5 31307,49,61,0,39,0,79.6,9,38,18.4,73.1,40,61,81.6,73.3,0,13,0,26.5,0,13,0,26.5,0,13,0,26.5,0,18,0,37.5,0,23,0,46,0,32,0,65,0,29,0,59.3,9,24,18.4,42.7,40,61,81.6,73.3,0,13,0,26.5,0,26,0,53.1,0,49,0,99.3,40,64,81.6,82.3,110836240.741699,69452.0698854592
190,Northwest Georgia,No,30728,3517,ZCTA,ZCTA5 30728,2389,335,462,169,21.8,7.2,1431,340,67.7,11.7,203,97,9.6,4.3,16,26,0.8,1.2,0,25,0,1.2,0,25,0,1.2,3,25,0.1,1.2,42,46,2,2.1,420,163,19.9,7,942,270,44.5,10.5,489,207,23.1,9,203,97,9.6,4.3,16,26,0.8,1.2,3,44,0.1,2.1,1404,318,66.4,10.5,219,104,10.4,4.6,4849524665.09668,584624.165894559
191,Northwest Georgia,No,30730,3518,ZCTA,ZCTA5 30730,116,51,6,37,5.9,36.8,93,53,92.1,30.8,0,18,0,18.2,2,5,2,4.9,0,13,0,12.9,0,13,0,12.9,0,18,0,18.2,0,23,0,22.3,6,30,5.9,29.3,52,45,51.5,37.7,41,27,40.6,19.9,0,18,0,18.2,2,5,2,4.9,0,26,0,25.7,58,58,57.4,51.4,2,23,2,22.8,1544593956.95605,213837.533215922
192,Coastal Regional Commission,No,31308,3666,ZCTA,ZCTA5 31308,601,183,81,82,17.8,17.1,192,113,42.3,20.7,168,100,37,18.5,13,17,2.9,3.6,0,19,0,4.2,0,19,0,4.2,0,27,0,5.9,0,33,0,7.2,81,75,17.8,15.4,78,63,17.2,12.8,114,94,25.1,18.9,168,100,37,18.5,13,17,2.9,3.6,0,38,0,8.4,159,104,35,19.7,181,103,39.9,18.7,2423830440.71069,385061.864435033
193,Northwest Georgia,No,30731,3519,ZCTA,ZCTA5 30731,231,70,59,37,35.3,19.2,59,41,35.3,21.9,34,40,20.4,23.2,15,23,9,13.5,0,13,0,7.8,0,13,0,7.8,0,18,0,11,0,23,0,13.5,59,29,35.3,13.7,42,32,25.1,17.4,17,26,10.2,15.1,34,40,20.4,23.2,15,23,9,13.5,0,26,0,15.6,101,49,60.5,22.4,49,48,29.3,27.3,2420980164.70093,386036.589610848
194,Coastal Regional Commission,No,31309,3667,ZCTA,ZCTA5 31309,81,50,0,39,0,72.2,54,56,100,50.3,0,18,0,34,0,13,0,24.1,0,13,0,24.1,0,13,0,24.1,0,18,0,34,0,23,0,41.7,0,32,0,59,29,46,53.7,70,25,32,46.3,41.6,0,18,0,34,0,13,0,24.1,0,26,0,48.1,29,60,53.7,100.6,0,26,0,48.1,728017865.619385,137508.752316501
195,Northwest Georgia,No,30733,3520,ZCTA,ZCTA5 30733,220,118,38,49,17.6,20.8,115,75,53.2,19.2,50,66,23.1,28,13,20,6,8.7,0,13,0,6,0,13,0,6,0,18,0,8.5,10,24,4.6,10.7,28,43,13,18.8,48,55,22.2,22.1,67,52,31,17.1,50,66,23.1,28,13,20,6,8.7,0,26,0,12,86,74,39.8,26.2,63,70,29.2,28.5,430293075.747559,113316.518856144
196,Northwest Georgia,No,30734,3521,ZCTA,ZCTA5 30734,342,136,50,67,18,22.5,129,112,46.4,34.1,99,61,35.6,14.2,0,13,0,4.7,0,13,0,4.7,0,13,0,4.7,0,18,0,6.6,0,23,0,8.1,50,63,18,21,68,93,24.5,31.4,61,63,21.9,20.3,99,61,35.6,14.2,0,13,0,4.7,0,26,0,9.4,118,114,42.4,36.1,99,64,35.6,15.7,2134259070.2478,353983.932431387
197,Northwest Georgia,No,30735,3522,ZCTA,ZCTA5 30735,469,221,85,131,19.9,28.9,221,109,51.8,36.5,121,123,28.3,25.1,0,19,0,4.4,0,19,0,4.4,0,19,0,4.4,0,27,0,6.3,0,33,0,7.7,85,126,19.9,27.8,153,94,35.8,12.7,68,54,15.9,9.8,121,123,28.3,25.1,0,19,0,4.4,0,38,0,8.9,238,161,55.7,25.1,121,126,28.3,25.9,1751853201.34448,363478.793588833
198,Northwest Georgia,No,30736,3523,ZCTA,ZCTA5 30736,2979,418,410,215,14.9,7.5,1714,324,62.2,7.4,511,178,18.5,5.9,122,100,4.4,3.6,0,28,0,1,0,28,0,1,0,40,0,1.4,0,48,0,1.8,410,210,14.9,7.3,849,237,30.8,7.3,865,221,31.4,6.6,511,178,18.5,5.9,122,100,4.4,3.6,0,56,0,2,1259,320,45.7,9.5,633,206,23,6.7,3590947190.51001,402425.790376583
199,Northwest Georgia,No,30738,3524,ZCTA,ZCTA5 30738,210,80,0,39,0,41.9,38,49,40.9,47.7,55,43,59.1,31.7,0,13,0,14,0,13,0,14,0,13,0,14,0,18,0,19.8,0,23,0,24.2,0,32,0,34.2,10,30,10.8,31.2,28,40,30.1,38.9,55,43,59.1,31.7,0,13,0,14,0,26,0,28,10,49,10.8,52.2,55,47,59.1,37.3,2402443566.84351,416251.210527878
200,Northwest Georgia,No,30739,3525,ZCTA,ZCTA5 30739,584,192,72,86,12.3,14.1,268,140,45.9,18.6,206,141,35.3,21.2,38,61,6.5,10.2,0,19,0,3.3,0,19,0,3.3,0,27,0,4.6,0,33,0,5.6,72,79,12.3,12.9,144,92,24.7,13.5,124,105,21.2,16.7,206,141,35.3,21.2,38,61,6.5,10.2,0,38,0,6.5,216,126,37,17.8,244,155,41.8,22.7,700712107.695313,220246.973157558
201,Northwest Georgia,No,30740,3526,ZCTA,ZCTA5 30740,523,188,65,77,14.4,16.2,304,129,67.6,13.7,81,67,18,13.4,0,19,0,4.2,0,19,0,4.2,0,19,0,4.2,0,27,0,6,0,33,0,7.3,65,69,14.4,14.4,149,92,33.1,16.2,155,90,34.4,15.4,81,67,18,13.4,0,19,0,4.2,0,38,0,8.4,214,119,47.6,19.8,81,72,18,14.6,1419944474.50122,234441.770350342
202,Northwest Georgia,No,30741,3527,ZCTA,ZCTA5 30741,3986,459,313,138,8.5,3.6,2515,423,68.5,7.7,833,252,22.7,6.3,10,17,0.3,0.5,0,25,0,0.7,0,25,0,0.7,0,35,0,1,0,43,0,1.2,313,131,8.5,3.4,1271,294,34.6,6.7,1244,304,33.9,7.1,833,252,22.7,6.3,10,17,0.3,0.5,0,50,0,1.4,1584,325,43.1,7,843,254,23,6.3,695058256.474609,227803.622608019
203,Northwest Georgia,No,30742,3528,ZCTA,ZCTA5 30742,1431,245,407,199,30.8,14,661,208,50.1,12.8,247,130,18.7,9.3,5,10,0.4,0.8,0,19,0,1.4,0,19,0,1.4,0,27,0,2,0,33,0,2.5,407,196,30.8,13.8,231,123,17.5,8.7,430,168,32.6,11.2,247,130,18.7,9.3,5,10,0.4,0.8,0,38,0,2.9,638,234,48.3,15.3,252,132,19.1,9.4,93384910.9821777,80484.8796668567
204,Northwest Georgia,No,30746,3529,ZCTA,ZCTA5 30746,154,94,0,39,0,25.3,137,101,89,36.8,17,32,11,19.5,0,13,0,8.4,0,13,0,8.4,0,13,0,8.4,0,18,0,11.9,0,23,0,14.6,0,32,0,20.7,36,47,23.4,26.9,101,90,65.6,42.1,17,32,11,19.5,0,13,0,8.4,0,26,0,16.9,36,61,23.4,36.9,17,37,11,22.9,465401972.240479,131082.343501195
205,Northwest Georgia,No,30747,3530,ZCTA,ZCTA5 30747,1803,269,715,224,41.4,11.3,937,220,54.3,9.7,61,44,3.5,2.5,0,21,0,1.2,14,25,0.8,1.4,0,21,0,1.2,0,30,0,1.7,22,31,1.3,1.8,693,222,40.1,11.3,618,193,35.8,9.8,319,105,18.5,5.4,61,44,3.5,2.5,0,21,0,1.2,14,44,0.8,2.6,1333,296,77.2,12.4,75,55,4.3,3.1,5108810090.96021,627569.463521236
206,Northwest Georgia,No,30750,3531,ZCTA,ZCTA5 30750,228,84,14,46,7.3,23.5,121,68,62.7,25.6,43,31,22.3,13.8,12,14,6.2,6.8,3,5,1.6,2.5,0,13,0,6.7,0,18,0,9.5,0,23,0,11.7,14,40,7.3,20.4,26,36,13.5,17.8,95,58,49.2,23.2,43,31,22.3,13.8,12,14,6.2,6.8,3,23,1.6,11.9,40,58,20.7,28.9,58,35,30.1,13.7,367880822.677734,133468.149577436
207,Northwest Georgia,No,30751,3532,ZCTA,ZCTA5 30751,0,13,0,39,,,0,37,,,0,18,,,0,13,,,0,13,,,0,13,,,0,18,,,0,23,,,0,32,,,0,29,,,0,23,,,0,18,,,0,13,,,0,26,,,0,49,,,0,26,,,15844799.9707031,25299.6164161261
208,Northwest Georgia,No,30752,3533,ZCTA,ZCTA5 30752,1191,199,210,94,19.6,8.1,782,192,73.2,12.7,77,65,7.2,6,0,19,0,1.8,0,19,0,1.8,0,19,0,1.8,0,27,0,2.5,12,33,1.1,3.1,198,88,18.5,7.6,478,131,44.7,9.4,304,141,28.4,12.2,77,65,7.2,6,0,19,0,1.8,0,38,0,3.6,688,161,64.4,10.1,77,71,7.2,6.5,2174764307.56812,262075.863204993
209,Northwest Georgia,No,30753,3534,ZCTA,ZCTA5 30753,806,161,167,79,23.3,10,495,136,69,12.7,55,53,7.7,7.3,0,19,0,2.6,0,19,0,2.6,0,19,0,2.6,0,27,0,3.7,15,26,2.1,3.6,152,75,21.2,9.5,321,107,44.8,11.9,174,83,24.3,10.5,55,53,7.7,7.3,0,19,0,2.6,0,38,0,5.3,488,133,68.1,12.4,55,60,7.7,8.2,1142219293.93164,246021.027858801
210,Northwest Georgia,No,30755,3535,ZCTA,ZCTA5 30755,954,197,180,105,20.6,11.1,551,179,63.2,15,141,84,16.2,9,0,19,0,2.2,0,19,0,2.2,0,19,0,2.2,0,27,0,3.1,3,28,0.3,3.2,177,101,20.3,10.6,276,135,31.7,13.8,275,118,31.5,11.5,141,84,16.2,9,0,19,0,2.2,0,38,0,4.4,456,171,52.3,15.8,141,88,16.2,9.5,994368405.687012,208153.67209744
211,Northwest Georgia,No,30756,3536,ZCTA,ZCTA5 30756,45,56,0,39,0,105.4,37,64,100,93,0,18,0,49.7,0,13,0,35.1,0,13,0,35.1,0,13,0,35.1,0,18,0,49.7,0,23,0,60.9,0,32,0,86.1,37,60,100,70.3,0,23,0,60.9,0,18,0,49.7,0,13,0,35.1,0,26,0,70.3,37,72,100,126.7,0,26,0,70.3,3769559.24536133,18173.5735106934
212,Northwest Georgia,No,30757,3537,ZCTA,ZCTA5 30757,259,161,27,59,12.1,25.1,105,96,47.1,28.8,10,21,4.5,9.1,81,104,36.3,39.6,0,13,0,5.8,0,13,0,5.8,0,18,0,8.2,0,23,0,10.1,27,54,12.1,23,51,62,22.9,22.9,54,73,24.2,28.5,10,21,4.5,9.1,81,104,36.3,39.6,0,26,0,11.7,78,85,35,30,91,107,40.8,39.2,478927759.382568,160305.430473573
213,Central Savannah River Area,No,30802,3538,ZCTA,ZCTA5 30802,257,123,0,57,0,35,140,87,85.9,28.2,0,27,0,16.5,23,36,14.1,20.8,0,19,0,11.7,0,19,0,11.7,0,27,0,16.5,0,33,0,20.2,0,47,0,28.6,52,54,31.9,28.8,88,68,54,30.4,0,27,0,16.5,23,36,14.1,20.8,0,38,0,23.3,52,79,31.9,45.3,23,49,14.1,29,4125695578.42969,390866.755472698
214,Central Savannah River Area,No,30803,3539,ZCTA,ZCTA5 30803,61,27,31,39,60.8,71.3,20,32,39.2,59.1,0,18,0,36,0,13,0,25.5,0,13,0,25.5,0,13,0,25.5,0,18,0,36,18,30,35.3,56.7,13,25,25.5,48,20,22,39.2,39.4,0,23,0,44.2,0,18,0,36,0,13,0,25.5,0,26,0,51,51,45,100,74.1,0,26,0,51,1543879713.75464,275311.465524398
215,Central Savannah River Area,No,30805,3540,ZCTA,ZCTA5 30805,186,76,34,61,24.3,42,92,59,65.7,25.7,6,15,4.3,10.3,8,12,5.7,8.1,0,13,0,9.3,0,13,0,9.3,0,18,0,13.1,0,23,0,16.1,34,57,24.3,38.8,36,40,25.7,25.5,56,43,40,23.3,6,15,4.3,10.3,8,12,5.7,8.1,0,26,0,18.6,70,73,50,45.7,14,23,10,15.7,988844199.97876,316048.212973256
216,Atlanta Regional Commission,Yes,30294,3316,ZCTA,ZCTA5 30294,3420,519,62,77,1.9,2.3,879,238,26.3,5.8,1977,453,59.1,9.9,386,164,11.5,4.6,28,45,0.8,1.3,11,16,0.3,0.5,0,40,0,1.2,0,48,0,1.5,62,60,1.9,1.8,366,166,10.9,4.7,513,171,15.3,4.5,1977,453,59.1,9.9,386,164,11.5,4.6,39,62,1.2,1.8,428,183,12.8,5.1,2391,483,71.5,9.2,909904101.578125,283565.646184046
217,Three Rivers,No,30295,3317,ZCTA,ZCTA5 30295,415,115,23,35,5.8,8.6,321,114,80.7,16.6,54,39,13.6,8.9,0,13,0,3.3,0,13,0,3.3,0,13,0,3.3,0,18,0,4.6,0,23,0,5.7,23,27,5.8,6.5,183,94,46,19.4,138,65,34.7,12.8,54,39,13.6,8.9,0,13,0,3.3,0,26,0,6.5,206,100,51.8,20.1,54,43,13.6,10,1239972827.90405,247561.039329201
218,Atlanta Regional Commission,Yes,30296,3318,ZCTA,ZCTA5 30296,3287,422,15,74,0.5,2.4,762,246,24.5,7.3,1886,354,60.6,8.4,426,171,13.7,5.2,25,29,0.8,0.9,0,25,0,0.8,0,35,0,1.1,0,43,0,1.4,15,60,0.5,1.9,174,127,5.6,4,588,210,18.9,6.3,1886,354,60.6,8.4,426,171,13.7,5.2,25,52,0.8,1.7,189,148,6.1,4.7,2337,394,75,8.4,296403881.074707,120952.110361199
219,Southwest Georgia,No,39866,3877,ZCTA,ZCTA5 39866,33,25,7,36,70,352.2,3,32,30,319.2,0,18,0,183.8,0,13,0,130,0,13,0,130,0,13,0,130,0,18,0,183.8,0,23,0,225.2,7,28,70,270.8,1,26,10,261.4,2,19,20,184.7,0,18,0,183.8,0,13,0,130,0,26,0,260,8,45,80,436.3,0,26,0,260,1584554950.30127,305677.757680774
220,Atlanta Regional Commission,Yes,30297,3319,ZCTA,ZCTA5 30297,5846,415,171,92,3,1.6,3735,502,64.7,7.4,1762,310,30.5,4.9,76,55,1.3,0.9,0,25,0,0.4,0,25,0,0.4,31,48,0.5,0.8,10,39,0.2,0.7,161,83,2.8,1.4,927,251,16.1,4.2,2808,435,48.6,6.7,1762,310,30.5,4.9,76,55,1.3,0.9,31,60,0.5,1,1098,268,19,4.4,1838,315,31.8,5,307579395.587158,128933.39734643
221,River Valley,No,39867,3878,ZCTA,ZCTA5 39867,29,29,5,38,22.7,168.8,17,43,77.3,171.5,0,18,0,83.6,0,13,0,59.1,0,13,0,59.1,0,13,0,59.1,0,18,0,83.6,0,23,0,102.3,5,30,22.7,134.2,17,37,77.3,137.6,0,23,0,102.3,0,18,0,83.6,0,13,0,59.1,0,26,0,118.2,22,53,100,205.3,0,26,0,118.2,2430122409.44019,439384.758150711
222,Atlanta Regional Commission,Yes,30303,3320,ZCTA,ZCTA5 30303,953,193,249,98,27.2,9.1,156,102,17,10.5,242,107,26.4,10.3,239,116,26.1,11.4,5,8,0.5,0.9,5,8,0.5,0.9,20,34,2.2,3.7,85,60,9.3,6.2,164,78,17.9,7.7,136,98,14.8,10.3,20,26,2.2,2.8,242,107,26.4,10.3,239,116,26.1,11.4,30,36,3.3,3.8,385,139,42,12.4,486,158,53.1,13.2,29087047.529541,36756.450817937
223,Atlanta Regional Commission,Yes,30305,3321,ZCTA,ZCTA5 30305,5655,470,263,124,4.7,2.2,773,241,14,4.2,1996,421,36,7,1561,285,28.2,4.6,562,175,10.1,3,217,106,3.9,1.9,167,78,3,1.4,0,43,0,0.8,263,117,4.7,2.1,142,84,2.6,1.5,631,226,11.4,4,1996,421,36,7,1561,285,28.2,4.6,946,219,17.1,3.7,405,150,7.3,2.6,4119,537,74.4,7.4,180220329.024414,85830.8518005346
224,Atlanta Regional Commission,Yes,30306,3322,ZCTA,ZCTA5 30306,4638,348,253,153,5.5,3.3,652,206,14.3,4.4,1653,258,36.2,4.9,1284,237,28.2,4.7,433,126,9.5,2.7,138,75,3,1.6,148,67,3.2,1.4,32,62,0.7,1.4,221,140,4.8,3,157,128,3.4,2.8,495,161,10.9,3.4,1653,258,36.2,4.9,1284,237,28.2,4.7,719,161,15.8,3.3,410,199,9,4.3,3370,372,73.9,5.8,122235210.678223,67829.6416760461
225,Southwest Georgia,No,39870,3879,ZCTA,ZCTA5 39870,304,73,97,60,47.8,25.4,98,57,48.3,23.3,8,18,3.9,8.6,0,13,0,6.4,0,13,0,6.4,0,13,0,6.4,0,18,0,9.1,14,23,6.9,11.2,83,55,40.9,24,83,52,40.9,22,15,23,7.4,10.8,8,18,3.9,8.6,0,13,0,6.4,0,26,0,12.8,180,79,88.7,27.3,8,26,3.9,12.5,5280447039.31073,534422.797663527
226,GM / NE,No,30530,3424,ZCTA,ZCTA5 30530,570,172,56,97,12.6,21.4,294,116,65.9,12.4,96,79,21.5,16,0,19,0,4.3,0,19,0,4.3,0,19,0,4.3,0,27,0,6,0,33,0,7.4,56,91,12.6,20,114,66,25.6,11.8,180,95,40.4,16.1,96,79,21.5,16,0,19,0,4.3,0,38,0,8.5,170,117,38.1,22.8,96,83,21.5,17.1,2201638682.45435,360621.531445312
227,Atlanta Regional Commission,Yes,30307,3323,ZCTA,ZCTA5 30307,3704,327,201,99,5.5,2.7,823,210,22.7,5.4,1334,232,36.7,5.4,815,173,22.5,4.3,288,79,7.9,2.1,84,47,2.3,1.3,85,52,2.3,1.4,80,65,2.2,1.8,121,74,3.3,2,114,73,3.1,2,709,197,19.5,5.1,1334,232,36.7,5.4,815,173,22.5,4.3,457,106,12.6,2.7,315,123,8.7,3.3,2437,300,67.1,5.5,127376936.466064,91708.4385182415
228,RV / SW,No,39877,3880,ZCTA,ZCTA5 39877,37,24,0,39,0,260,13,34,86.7,213.2,0,18,0,122.6,2,3,13.3,16.3,0,13,0,86.7,0,13,0,86.7,0,18,0,122.6,0,23,0,150.1,0,32,0,212.3,6,27,40,174.5,7,21,46.7,133.5,0,18,0,122.6,2,3,13.3,16.3,0,26,0,173.3,6,47,40,313.1,2,23,13.3,151,1146843017.46912,260415.129018062
229,Georgia Mountains,Partial,30531,3425,ZCTA,ZCTA5 30531,983,224,139,90,14.6,8.8,713,208,74.7,14.2,79,58,8.3,5.8,23,26,2.4,2.7,0,21,0,2.2,0,21,0,2.2,0,30,0,3.1,0,36,0,3.8,139,82,14.6,8,300,130,31.4,11.7,413,163,43.3,14.1,79,58,8.3,5.8,23,26,2.4,2.7,0,42,0,4.4,439,158,46,13,102,67,10.7,6.6,1078157543.46973,273394.958085826
230,Atlanta Regional Commission,Yes,30308,3324,ZCTA,ZCTA5 30308,8248,524,1168,317,14.3,3.8,946,297,11.6,3.5,2793,425,34.1,4.7,2140,302,26.1,3.3,733,181,9,2.1,341,155,4.2,1.9,64,53,0.8,0.6,157,114,1.9,1.4,1011,296,12.4,3.5,181,119,2.2,1.4,765,272,9.3,3.3,2793,425,34.1,4.7,2140,302,26.1,3.3,1138,244,13.9,2.8,1349,339,16.5,4,5666,552,69.2,5,44445829.654541,42688.9168883741
231,Southwest Georgia,No,39885,3881,ZCTA,ZCTA5 39885,8,10,0,39,0,650,3,32,50,536.1,3,14,50,226.5,0,13,0,216.7,0,13,0,216.7,0,13,0,216.7,0,18,0,306.4,0,23,0,375.3,0,32,0,530.7,0,29,0,484.5,3,14,50,229.6,3,14,50,226.5,0,13,0,216.7,0,26,0,433.3,0,49,0,810.7,3,23,50,381.1,8282847.06396484,14517.2363717997
232,Georgia Mountains,Partial,30533,3426,ZCTA,ZCTA5 30533,3010,409,203,119,8.1,4.5,1340,325,53.3,9.8,723,235,28.8,8.2,219,105,8.7,3.9,27,44,1.1,1.7,0,25,0,1,0,35,0,1.4,14,43,0.6,1.7,189,111,7.5,4.2,535,185,21.3,6.5,805,267,32,9.3,723,235,28.8,8.2,219,105,8.7,3.9,27,62,1.1,2.5,738,219,29.4,7.4,969,261,38.6,8.4,6133495301.30078,508071.212303221
233,Atlanta Regional Commission,Yes,30309,3325,ZCTA,ZCTA5 30309,8404,548,268,128,3.3,1.5,1209,336,14.7,4,2900,494,35.2,5.5,2197,328,26.6,3.6,1022,199,12.4,2.3,355,114,4.3,1.4,293,155,3.6,1.9,56,49,0.7,0.6,212,119,2.6,1.4,449,223,5.4,2.7,760,252,9.2,3,2900,494,35.2,5.5,2197,328,26.6,3.6,1670,277,20.3,3.1,717,257,8.7,3.1,6119,625,74.2,5.7,96284222.0046387,64005.586918116
234,Atlanta Regional Commission,Yes,30002,3149,ZCTA,ZCTA5 30002,1205,166,82,84,6.9,7,818,174,68.6,11,217,91,18.2,7.2,50,35,4.2,2.9,26,30,2.2,2.5,0,19,0,1.6,0,27,0,2.3,0,33,0,2.8,82,77,6.9,6.4,336,103,28.2,7.7,482,140,40.4,10.3,217,91,18.2,7.2,50,35,4.2,2.9,26,45,2.2,3.7,418,133,35,10,293,102,24.6,7.8,47506644.7866211,55848.9023163231
235,RV / SW,No,39886,3882,ZCTA,ZCTA5 39886,227,73,95,54,52.2,21.9,87,46,47.8,17.3,0,18,0,10.1,0,13,0,7.1,0,13,0,7.1,0,13,0,7.1,0,18,0,10.1,5,20,2.7,11.2,90,50,49.5,19.8,68,39,37.4,16.2,19,24,10.4,12.3,0,18,0,10.1,0,13,0,7.1,0,26,0,14.3,163,67,89.6,12.8,0,26,0,14.3,3447701499.63159,469600.720983416
236,ARC / GM / NW,Partial,30534,3427,ZCTA,ZCTA5 30534,1998,297,111,106,6.2,5.9,1045,252,58.4,10.6,492,182,27.5,9.2,121,82,6.8,4.5,20,25,1.1,1.4,0,25,0,1.4,0,35,0,2,0,43,0,2.4,111,97,6.2,5.3,326,136,18.2,7,719,212,40.2,10,492,182,27.5,9.2,121,82,6.8,4.5,20,50,1.1,2.8,437,173,24.4,8.8,633,202,35.4,9.8,6510391049.03418,671068.016468621
237,Atlanta Regional Commission,Yes,30310,3326,ZCTA,ZCTA5 30310,6756,389,1051,192,16,2.8,2694,336,40.9,4.5,2382,289,36.2,3.8,430,114,6.5,1.7,18,24,0.3,0.4,0,25,0,0.4,10,30,0.2,0.5,146,62,2.2,0.9,905,182,13.7,2.6,979,187,14.9,2.7,1715,279,26,4,2382,289,36.2,3.8,430,114,6.5,1.7,28,46,0.4,0.7,2030,268,30.8,3.6,2830,311,43,4,246058207.842529,104012.883930985
238,ARC / GM,Yes,30004,3150,ZCTA,ZCTA5 30004,4981,577,73,112,1.5,2.3,275,143,5.6,2.8,2748,537,55.9,8.6,1385,336,28.2,5.9,264,143,5.4,2.8,81,133,1.6,2.7,89,75,1.8,1.5,0,54,0,1.1,73,98,1.5,2,88,96,1.8,1.9,187,105,3.8,2.1,2748,537,55.9,8.6,1385,336,28.2,5.9,434,209,8.8,4.1,161,147,3.3,3,4397,649,89.5,7.7,1620004404.53882,354342.903322833
239,Georgia Mountains,No,30535,3428,ZCTA,ZCTA5 30535,714,173,92,63,15.3,9.5,439,168,72.9,18.4,58,38,9.6,5.7,0,19,0,3.2,0,19,0,3.2,13,20,2.2,3.3,0,27,0,4.5,6,29,1,4.8,86,56,14.3,8.3,154,81,25.6,11.3,285,146,47.3,20.2,58,38,9.6,5.7,0,19,0,3.2,13,39,2.2,6.4,246,103,40.9,12.4,58,47,9.6,7.3,822289061.443848,176519.274021547
